,email_id,entity,type,entity_clean
0,5.txt,Rob Benson,PERSON,ROB BENSON
1,5.txt,Houston,GPE,HOUSTON
2,4.txt,George,PERSON,GEORGE
3,6.txt,Robert Benson/Corp/Enron,PERSON,ROBERT BENSON/CORP/ENRON
4,6.txt,"Chris Dorland@ECT
",PERSON,CHRIS DORLAND@ECT
5,6.txt,Robert Benson/Corp,PERSON,ROBERT BENSON/CORP
6,6.txt,Enron,ORG,ENRON
7,6.txt,Chris Dorland/HOU,PERSON,CHRIS DORLAND/HOU
8,6.txt,"Dan Dorland
	05/11/2001",PERSON,DAN DORLAND 05/11/2001
9,6.txt,Paul Devries/TOR/ECT@ECT,PERSON,PAUL DEVRIES/TOR/ECT@ECT
10,6.txt,Jan Wilson/TOR/ECT@ECT,ORG,JAN WILSON/TOR/ECT@ECT
11,6.txt,Jeff Borg/TOR/ECT@ECT,PERSON,JEFF BORG/TOR/ECT@ECT
12,6.txt,Dave Ellis/TOR/ECT@ECT,PERSON,DAVE ELLIS/TOR/ECT@ECT
13,6.txt,Garrett Tripp/TOR/ECT@ECT,PERSON,GARRETT TRIPP/TOR/ECT@ECT
14,6.txt,"Stephane 
Brodeur/CAL/ECT@ECT",PERSON,STEPHANE BRODEUR/CAL/ECT@ECT
15,6.txt,Chris Dorland/HOU,PERSON,CHRIS DORLAND/HOU
16,6.txt,kdorland@flint-energy.com,ORG,KDORLAND@FLINT-ENERGY.COM
17,6.txt,Enron,ORG,ENRON
18,6.txt,Enron,ORG,ENRON
19,6.txt,Peter Eavis,PERSON,PETER EAVIS
20,6.txt,Enron,ORG,ENRON
21,6.txt,ENE,ORG,ENE
22,6.txt,NYSE,ORG,NYSE
23,6.txt,Cambridge,GPE,CAMBRIDGE
24,6.txt,Off Wall Street,ORG,OFF WALL STREET
25,6.txt,Mark Roberts,PERSON,MARK ROBERTS
26,6.txt,Enron,ORG,ENRON
27,6.txt,Enron,ORG,ENRON
28,6.txt,Enron,ORG,ENRON
29,6.txt,Goldman Sachs,ORG,GOLDMAN SACHS
30,6.txt,NYSE,ORG,NYSE
31,6.txt,Enron,ORG,ENRON
32,6.txt,Enron,ORG,ENRON
33,6.txt,Houston,GPE,HOUSTON
34,6.txt,Enron,ORG,ENRON
35,6.txt,Detox,ORG,DETOX
36,6.txt,Enron,ORG,ENRON
37,6.txt,OWS,ORG,OWS
38,6.txt,Enron,ORG,ENRON
39,6.txt,Off Wall Street,ORG,OFF WALL STREET
40,6.txt,"Merrill 
Lynch",ORG,MERRILL LYNCH
41,6.txt,MER,ORG,MER
42,6.txt,NYSE,ORG,NYSE
43,6.txt,OWS,ORG,OWS
44,6.txt,PCLN,ORG,PCLN
45,6.txt,Enron,ORG,ENRON
46,6.txt,Enron,ORG,ENRON
47,6.txt,Enron,ORG,ENRON
48,6.txt,OWS,ORG,OWS
49,6.txt,Enron,ORG,ENRON
50,6.txt,IBIT,ORG,IBIT
51,6.txt,IBIT,ORG,IBIT
52,6.txt,IBIT,ORG,IBIT
53,6.txt,Enron,ORG,ENRON
54,6.txt,Enron,ORG,ENRON
55,6.txt,OWS,ORG,OWS
56,6.txt,Enron,ORG,ENRON
57,6.txt,IBIT,ORG,IBIT
58,6.txt,Enron,ORG,ENRON
59,6.txt,Enron,ORG,ENRON
60,6.txt,U.S.,GPE,U.S.
61,6.txt,Enron,ORG,ENRON
62,6.txt,OWS,ORG,OWS
63,6.txt,Duke,PERSON,DUKE
64,6.txt,DUK,PERSON,DUK
65,6.txt,NYSE,ORG,NYSE
66,6.txt,Dynegy,PERSON,DYNEGY
67,6.txt,NYSE,ORG,NYSE
68,6.txt,Goldman,ORG,GOLDMAN
69,6.txt,Enron,ORG,ENRON
70,6.txt,"the Securities and Exchange 
Commission",ORG,THE SECURITIES AND EXCHANGE COMMISSION
71,6.txt,Enron,ORG,ENRON
72,6.txt,Enron,ORG,ENRON
73,6.txt,Enron,ORG,ENRON
74,6.txt,CFO,ORG,CFO
75,6.txt,Andrew Fastow,PERSON,ANDREW FASTOW
76,6.txt,Enron,ORG,ENRON
77,6.txt,Enron,ORG,ENRON
78,7.txt,Robert Benson/Corp/Enron,PERSON,ROBERT BENSON/CORP/ENRON
79,7.txt,"Chris Dorland@ECT
",PERSON,CHRIS DORLAND@ECT
80,7.txt,Robert Benson/Corp,PERSON,ROBERT BENSON/CORP
81,7.txt,Enron,ORG,ENRON
82,7.txt,Chris Dorland/HOU,PERSON,CHRIS DORLAND/HOU
83,7.txt,"Dan Dorland
	05/11/2001",PERSON,DAN DORLAND 05/11/2001
84,7.txt,Paul Devries/TOR/ECT@ECT,PERSON,PAUL DEVRIES/TOR/ECT@ECT
85,7.txt,Jan Wilson/TOR/ECT@ECT,ORG,JAN WILSON/TOR/ECT@ECT
86,7.txt,Jeff Borg/TOR/ECT@ECT,PERSON,JEFF BORG/TOR/ECT@ECT
87,7.txt,Dave Ellis/TOR/ECT@ECT,PERSON,DAVE ELLIS/TOR/ECT@ECT
88,7.txt,Garrett Tripp/TOR/ECT@ECT,PERSON,GARRETT TRIPP/TOR/ECT@ECT
89,7.txt,"Stephane 
Brodeur/CAL/ECT@ECT",PERSON,STEPHANE BRODEUR/CAL/ECT@ECT
90,7.txt,Chris Dorland/HOU,PERSON,CHRIS DORLAND/HOU
91,7.txt,kdorland@flint-energy.com,ORG,KDORLAND@FLINT-ENERGY.COM
92,7.txt,Enron,ORG,ENRON
93,7.txt,Enron,ORG,ENRON
94,7.txt,Peter Eavis,PERSON,PETER EAVIS
95,7.txt,Enron,ORG,ENRON
96,7.txt,ENE,ORG,ENE
97,7.txt,NYSE,ORG,NYSE
98,7.txt,Cambridge,GPE,CAMBRIDGE
99,7.txt,Off Wall Street,ORG,OFF WALL STREET
100,7.txt,Mark Roberts,PERSON,MARK ROBERTS
101,7.txt,Enron,ORG,ENRON
102,7.txt,Enron,ORG,ENRON
103,7.txt,Enron,ORG,ENRON
104,7.txt,Goldman Sachs,ORG,GOLDMAN SACHS
